protocol_version,checkpoints,experiment,instance_formulation,solver_formulation,window_mode,buffer_z,terminal_shortfall,pattern,I,J,K,physical_h1,physical_h2,physical_h3,visits,L1,L2,L3,rep,seed_service,seed_lateness,threads,budget_sec,target_gap,no_rel_heur_time,primal_phase_time,warm_start_mode,path_start_time,path_start_passes,method,status,full_separation,certified,train_obj,validated_obj,validation_status,validation_abs_diff,validation_rel_diff,validation_max_violation,validation_sec,objective_consistent,protocol_pass,objective_per_visit,train_bound,abs_gap,rel_gap,runtime_sec,build_sec,solve_sec,first_feasible_sec,incumbent_trace_json,obj_at_30,bound_at_30,gap_at_30,obj_at_60,bound_at_60,gap_at_60,obj_at_120,bound_at_120,gap_at_120,max_final_violation,callback_calls,accepted_incumbents,cuts_added,seed_cuts,aggregate_cuts,representative_screens,full_scenario_screens,total_scenario_screens,full_scans,representative_rejections,batch_initial,batch_final,cluster_count,repair_attempts,repair_feasible,repair_submissions,best_repaired_objective,primal_phase_sec,primal_phase_candidate,primal_phase_feasible_start,primal_phase_objective,path_start_sec,path_start_objective,path_start_evaluations,path_start_swaps,path_start_timing_moves,accepted_fallback_used,best_accepted_objective,num_vars,num_constrs,num_genconstrs,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,0,12065,12066,4,120,0.01,0,0,pathwise_repair,5.0,8,CBBD,STATUS_9,1,0,6.365625416765539,6.365625416765539,PASS,0.0,0.0,0.0,0.0010025501251220703,1,1,0.31828127083827695,0.592938474738375,5.772686942027164,0.9068530684861354,120.24122190475464,0.626622200012207,119.61459970474243,0.202009916305542,"[[0.6471543312072754,8.830504900918127],[10.421220541000366,8.626641260516038],[47.882019996643066,7.665719141807884],[73.8145968914032,7.577792830105892]]",6.365625416765539,0.592938474738375,0.9068530684861354,6.365625416765539,0.592938474738375,0.9068530684861354,6.365625416765539,0.592938474738375,0.9068530684861354,0.0,18,4,3440,3800,14,170,720,890,8,9,2048,2048,10,4,4,4,7.577792830105807,0.0,0,0,nan,0.202009916305542,6.365625416765539,307,14,3,1,7.577792830105892,17064,17001,4000,1000,0.3307905828715508,1.5227326560226122,0.0139,0.0,0.0,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_patient_completion_with_cross_stage_precedence,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,0,12065,12066,4,120,0.01,0,0,complete_natural,0.0,0,DE-MILP,STATUS_9,1,0,6.981675898136993,6.981675898181692,PASS,4.46984671498285e-11,6.402254673762466e-12,1.6209256159527285e-14,0.0010082721710205078,1,1,0.3490837949090846,0.7251359568787528,6.25653994125824,0.896137264539557,115.10454273223877,0.754974365234375,114.3495683670044,0.7644791603088379,"[[0.7644791603088379,8.830504900918127],[10.559738874435425,8.626641260294221],[11.004702806472778,7.8460555492090975],[33.49398422241211,7.670726421080616],[33.49919652938843,7.536872505754431],[34.62498736381531,7.427637506138041],[43.9395592212677,7.4167720682262654],[43.942559242248535,7.307537805006433],[56.800496339797974,7.259029354593082],[57.49419355392456,7.083089744239743],[69.44129991531372,7.083018246602009],[69.44429850578308,7.014173884676524],[115.03821516036987,6.981675898137027]]",7.8460555492090975,0.5931039738602235,0.9244073700293888,7.083089744239743,0.7251359568787528,0.8976243443098454,6.981675898136993,0.7251359568787528,0.896137264539557,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0,0,nan,0.0,nan,0,0,0,0,nan,19464,11587,39600,1000,0.3414334538865231,1.5003121432173052,0.0127,0.01962027298348922,0.09793153380396175,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,0,12065,12066,4,120,0.01,0,0,pathwise_repair,5.0,8,LBBD,STATUS_9,1,0,6.365625416765539,6.365625416765539,PASS,0.0,0.0,0.0,0.0009999275207519531,1,1,0.31828127083827695,0.5929384747383892,5.77268694202715,0.9068530684861332,120.09366655349731,0.6636190414428711,119.43004751205444,0.2183682918548584,"[[0.6796889305114746,8.830504900918127],[10.37224006652832,8.626641260516152],[32.418028354644775,7.662934882352218],[85.659583568573,7.580247323382238]]",6.365625416765539,0.592938474738375,0.9068530684861354,6.365625416765539,0.5929384747383892,0.9068530684861332,6.365625416765539,0.5929384747383892,0.9068530684861332,0.0,17,4,13600,3800,14,0,1500,1500,15,0,2048,2048,0,4,4,4,7.580247323382153,0.0,0,0,nan,0.2183682918548584,6.365625416765539,307,14,3,1,7.580247323382238,17064,17001,4000,1000,0.3307905828715508,1.5227326560226122,0.0139,0.0,0.0,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,1,12165,12166,4,120,0.01,0,0,pathwise_repair,5.0,8,CBBD,STATUS_9,1,0,6.498363820233209,6.498363820233209,PASS,0.0,0.0,0.0,0.0,1,1,0.3249181910116604,0.5889320851614457,5.909431735071763,0.9093722510075912,120.25029587745667,0.6354377269744873,119.61485815048218,0.17265892028808594,"[[0.6504578590393066,8.868894649876822],[11.392590522766113,8.145041526208772],[24.778920650482178,8.010096677826553],[51.45530676841736,7.886871469877477]]",6.498363820233209,0.5889320851614457,0.9093722510075912,6.498363820233209,0.5889320851614457,0.9093722510075912,6.498363820233209,0.5889320851614457,0.9093722510075912,0.0,19,4,2920,3800,14,170,540,710,6,11,2048,2048,10,4,4,4,7.886871469877647,0.0,0,0,nan,0.17265892028808594,6.498363820233209,267,9,3,1,7.886871469877477,17064,17001,4000,1000,0.3332505467270786,1.5253184579617338,0.015,0.0,0.0,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_patient_completion_with_cross_stage_precedence,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,1,12165,12166,4,120,0.01,0,0,complete_natural,0.0,0,DE-MILP,STATUS_9,1,0,6.85904916834334,6.8590491683571315,PASS,1.3791634501103545e-11,2.0107210434834796e-12,5.329070518200751e-15,0.0,1,1,0.3429524584178566,0.6875299684096162,6.171519199933724,0.8997630791768074,115.27795934677124,0.7143290042877197,114.56363034248352,0.7223515510559082,"[[0.7223515510559082,8.868894649876822],[21.18634605407715,8.835816578499404],[21.52206802368164,8.145041526200288],[34.33491039276123,8.141277587543513],[34.336910009384155,7.739932749993599],[36.24306535720825,7.73342794959423],[44.16762685775757,7.733069162138676],[44.17065739631653,7.530385942972032],[46.2084584236145,7.422088246379715],[49.05060648918152,7.27076117562558],[71.29603099822998,7.269596864697547],[71.3000328540802,7.243413107868307],[71.30308151245117,7.117835791215853],[77.21516466140747,7.072118617319418],[81.49286937713623,7.07035086685174],[86.63337922096252,7.069736521807215],[91.10553812980652,7.068655956427662],[91.10753679275513,6.880507138503916],[99.2776837348938,6.87580377160991],[99.27968454360962,6.859049168343375]]",8.145041526200288,0.6875299684096162,0.915589138962886,7.27076117562558,0.6875299684096162,0.9054390658966376,6.85904916834334,0.6875299684096162,0.8997630791768074,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0,0,nan,0.0,nan,0,0,0,0,nan,19464,11587,39600,1000,0.33294733046573183,1.4894597237985518,0.01375,0.04420879741571251,0.3694037358448673,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,1,12165,12166,4,120,0.01,0,0,pathwise_repair,5.0,8,LBBD,STATUS_9,1,0,6.498363820233209,6.498363820233209,PASS,0.0,0.0,0.0,0.0009996891021728516,1,1,0.3249181910116604,0.5889320851614457,5.909431735071763,0.9093722510075912,120.10019588470459,0.6011905670166016,119.49900531768799,0.17987799644470215,"[[0.6167128086090088,8.868894649876822],[11.083288431167603,8.145041526208772],[27.59430193901062,8.010096677826567],[44.71280550956726,7.98120363402613],[50.94532561302185,7.830193675793311]]",6.498363820233209,0.5889320851614457,0.9093722510075912,6.498363820233209,0.5889320851614457,0.9093722510075912,6.498363820233209,0.5889320851614457,0.9093722510075912,0.0,17,5,15800,3800,14,0,1500,1500,15,0,2048,2048,0,5,5,5,7.830193675793467,0.0,0,0,nan,0.17987799644470215,6.498363820233209,267,9,3,1,7.830193675793311,17064,17001,4000,1000,0.3332505467270786,1.5253184579617338,0.015,0.0,0.0,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,2,12265,12266,4,120,0.01,0,0,pathwise_repair,5.0,8,CBBD,STATUS_11,1,0,6.407961721650224,6.40796172165021,PASS,1.4210854715202004e-14,2.2176872042148145e-15,0.0,0.0,1,1,0.3203980860825105,0.590557553172232,5.817404168477992,0.9078400310699504,120.0647521018982,0.6173596382141113,119.44739246368408,0.19124269485473633,"[[0.6344079971313477,8.93140859376136],[12.918511629104614,8.701800480445371],[33.45970273017883,7.582018677472917],[101.18033075332642,7.574111195175107],[104.43936824798584,7.438099510686044],[105.27493810653687,7.239682940582981]]",6.407961721650224,0.590557553172232,0.9078400310699504,6.407961721650224,0.590557553172232,0.9078400310699504,6.407961721650224,0.590557553172232,0.9078400310699504,0.0,20,6,2960,3800,14,190,810,1000,9,10,2048,2048,10,6,6,6,7.2396829405829095,0.0,0,0,nan,0.19124269485473633,6.407961721650224,291,12,3,1,7.239682940582981,17064,17001,4000,1000,0.33932286423559865,1.5802794741083774,0.01555,0.0,0.0,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_patient_completion_with_cross_stage_precedence,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,2,12265,12266,4,120,0.01,0,0,complete_natural,0.0,0,DE-MILP,STATUS_9,1,0,6.757749658323922,6.757749658328379,PASS,4.4568793100552284e-12,6.595212216188692e-13,0.0,0.0010068416595458984,1,1,0.33788748291641896,0.7225176645209459,6.035231993802976,0.8930830970290564,115.10740423202515,0.7062714099884033,114.40113282203674,0.7168276309967041,"[[0.7168276309967041,8.93140859376136],[25.578174114227295,8.911154521004008],[26.093235969543457,8.72205455308584],[27.302568435668945,7.8175102888101975],[31.739641904830933,7.784667071944924],[34.6398663520813,7.688240944972833],[42.409948110580444,7.573870121801164],[43.706690549850464,7.553219445291759],[51.91650986671448,7.548139566805034],[57.9069459438324,7.479039598501259],[57.91151022911072,7.20906381785386],[59.550007581710815,7.196987944138627],[59.55400824546814,7.092476016701099],[62.64393353462219,7.092183925161876],[64.1857373714447,7.086349708355314],[64.18981289863586,6.98701327454026],[69.88763761520386,6.924531989635028],[69.89064311981201,6.874288369196918],[71.49850678443909,6.873919358037455],[73.98598527908325,6.847962538597429],[77.42145347595215,6.844598310631895],[112.0262942314148,6.832245709135094],[112.02980017662048,6.757749658323974]]",7.8175102888101975,0.6650226146540097,0.914931661093442,7.092476016701099,0.7225176645209459,0.898128994328696,6.757749658323922,0.7225176645209459,0.8930830970290564,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,0,0,nan,0.0,nan,0,0,0,0,nan,19464,11587,39600,1000,0.33234284989103774,1.5239820975896115,0.0132,0.04554470523962767,0.34594079064614097,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,2,12265,12266,4,120,0.01,0,0,pathwise_repair,5.0,8,LBBD,STATUS_9,1,0,6.407961721650224,6.40796172165021,PASS,1.4210854715202004e-14,2.2176872042148145e-15,0.0,0.0010075569152832031,1,1,0.3203980860825105,0.590557553172232,5.817404168477992,0.9078400310699504,120.11188125610352,0.6253242492675781,119.48655700683594,0.19654011726379395,"[[0.6418395042419434,8.93140859376136],[12.81826663017273,8.701800480445371],[34.140204191207886,7.582018677472874],[44.92025351524353,7.582018676593805],[45.85357737541199,7.5803679199989915],[49.349228382110596,7.493167906529862],[82.89892911911011,7.490967465994842],[82.9164674282074,7.482825108865271],[94.94961476325989,7.464786776858887],[94.96863269805908,7.3712207325937555]]",6.407961721650224,0.590557553172232,0.9078400310699504,6.407961721650224,0.590557553172232,0.9078400310699504,6.407961721650224,0.590557553172232,0.9078400310699504,0.0,19,10,14200,3800,14,0,1900,1900,19,0,2048,2048,0,10,10,10,7.371220732593969,0.0,0,0,nan,0.19654011726379395,6.407961721650224,291,12,3,1,7.3712207325937555,17064,17001,4000,1000,0.33932286423559865,1.5802794741083774,0.01555,0.0,0.0,0.0
EJOR-COMPUTATIONAL-PROTOCOL,"30,60,120",section_5_3_algorithm_comparison,I_equals_J_coupled_50_25_25_no_blocks,compact_physical_precedence_lazy_interstage_waiting,distribution_buffer_fixed_shortfall,0.5,0.6,coupled_50_25_25,8,8,100,6,8,6,20,9.4,14.566666666666666,11.066666666666668,3,12365,12366,4,120,0.01,0,0,pathwise_repair,5.0,8,CBBD,STATUS_9,1,0,6.289657882527379,6.289657882527379,PASS,0.0,0.0,0.0,0.0,1,1,0.314482894126369,0.6216975351021574,5.667960347425222,0.901155587996411,120.22076416015625,0.5966503620147705,119.62411379814148,0.1655139923095703,"[[0.6169149875640869,8.602230492705102],[13.091874837875366,8.247157074004775],[28.408804655075073,7.8162244332330175],[54.57999658584595,7.752624975271843]]",6.289657882527379,0.5886275994988495,0.9064134154046674,6.289657882527379,0.6216975351021574,0.901155587996411,6.289657882527379,0.6216975351021574,0.901155587996411,0.0,16,4,2540,3800,14,150,630,780,7,8,2048,2048,10,4,4,4,7.752624975271743,0.0,0,0,nan,0.1655139923095703,6.289657882527379,275,10,3,1,7.752624975271843,17064,17001,4000,1000,0.3315015948169932,1.5548963099010344,0.01465,0.0,0.0,0.0
