J,I,method,n,validated_obj_mean,validated_obj_sd,validated_obj_ci95_low,validated_obj_ci95_high,runtime_mean_sec,runtime_sd_sec,validation_passes,test_mean_direct_mean,test_p95_direct_mean,test_direct_exceed_rate_mean,test_mean_indirect_mean,test_p95_indirect_mean,test_indirect_exceed_rate_mean
8,8,DE-MILP,10,6.449899486856472,0.34204556078349796,6.205214832787342,6.694584140925602,115.13843116760253,0.06247927530591851,10,0.3242642668221601,1.5059637455684909,0.012895,0.042593967141011276,0.3228417048744313,0.0
8,8,LBBD,10,6.320831820948982,0.11145562692169922,6.241101268519285,6.400562373378679,118.68623194694518,2.708754345379562,10,0.3331946985286242,1.5483921451385438,0.01434,0.003915380248779068,0.029613490334905207,0.0
8,8,CBBD,10,6.300194962491503,0.164605575277597,6.18244322745249,6.417946697530516,118.66537103652954,3.1861196219928103,10,0.332104698814846,1.5514991294789993,0.0143,0.005352653945799202,0.03659429866210297,0.0
8,8,K-BRKGA,10,8.255687416492567,0.1384846483312691,8.156621466935427,8.354753366049707,1.5580734968185426,0.07592313875889044,10,0.43191385446554253,1.9438579938818799,0.024050000000000002,0.0,0.0,0.0
12,12,DE-MILP,10,11.970872040544316,0.4166572220049225,11.672813419353178,12.268930661735455,115.2881055355072,0.18095157340862753,10,0.40318939068859144,1.6060638028966823,0.016436666666666665,0.00753109705093331,0.024979234055241387,0.0
12,12,LBBD,10,8.788747760932793,0.2995038454292043,8.574495616734948,9.002999905130638,117.61001348495483,3.8484436479142423,10,0.33272928337468755,1.4747931665832257,0.012413333333333334,9.061526506871654e-05,0.0,0.0
12,12,CBBD,10,8.788747760932793,0.2995038454292043,8.574495616734948,9.002999905130638,116.76487493515015,4.489778457741222,10,0.33272928337468755,1.4747931665832257,0.012413333333333334,9.061526506871654e-05,0.0,0.0
12,12,K-BRKGA,10,12.472557533603203,0.3469199749035101,12.224385933730675,12.72072913347573,2.604848289489746,0.31867203598155686,10,0.4615909804055285,1.7591358151918641,0.020736666666666667,0.0,0.0,0.0
16,16,DE-MILP,10,18.149011117670746,0.5652496300751682,17.74465589118912,18.553366344152373,115.5650711297989,1.0212694933398798,10,0.4492593530184687,1.7141587428318363,0.02297,0.002199358373796421,0.0,0.0
16,16,LBBD,10,12.439298121341164,0.35338365265924343,12.186502684947989,12.692093557734339,117.9706197977066,2.986187264358268,10,0.36468732160155676,1.5514602436226241,0.0165125,0.0011757352129471658,0.0,0.0
16,16,CBBD,10,12.439298121341164,0.35338365265924343,12.186502684947989,12.692093557734339,117.65259356498719,3.2540230261660588,10,0.36468732160155676,1.5514602436226241,0.0165125,0.0011757352129471658,0.0,0.0
16,16,K-BRKGA,10,16.629656632794898,0.3676808432661525,16.36663360236484,16.892679663224957,3.9729955911636354,0.4198240963449374,10,0.4790633146564587,1.730906993201386,0.023275,0.0,0.0,0.0
20,20,DE-MILP,10,24.38943043656067,1.1666877608520823,23.55483228970306,25.224028583418278,119.92302954673767,13.419460314675764,10,0.4735690806835638,1.765648972462138,0.028125999999999998,0.0005274984924619572,0.0,0.0
20,20,LBBD,10,16.281755849438905,0.4621214313063679,15.951174092148678,16.61233760672913,118.28487668037414,3.762750043483992,10,0.3957346503997462,1.6162859874463607,0.022086,0.014532030270484874,0.021838872320242095,0.0
20,20,CBBD,10,16.281755849438905,0.4621214313063679,15.951174092148678,16.61233760672913,118.15097639560699,3.225287559239884,10,0.3957346503997462,1.6162859874463607,0.022086,0.014532030270484874,0.021838872320242095,0.0
20,20,K-BRKGA,10,20.895828878487247,0.3944491472536639,20.613656956938126,21.17800080003637,6.20607545375824,1.258901745871393,10,0.493013487919669,1.7820386207664436,0.028662,4.102779881714961e-08,0.0,0.0
