protocol_version,method,J,K,rep,seed_service,seed_lateness,algorithm_seed,budget_sec,pop_size,elite_size,mutant_size,inheritance_prob,max_generations,stall_generations,timing_mode,status,train_obj,validated_obj,validation_status,validation_max_violation,runtime_sec,best_gen,evaluations,feasible_evaluations,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,7,12765,12766,30012765,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.432092532975503,12.432092532975503,PASS,0.0,2.578291177749634,8,2740,2740,1000,0.465600770753526,1.8027192521824955,0.0226,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,8,12865,12866,30012865,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.33516025792369,12.33516025792369,PASS,0.0,2.84303617477417,11,2980,2980,1000,0.45379580172198575,1.7316972114774831,0.019766666666666665,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,12,100,9,12965,12966,30012965,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,12.057661486510483,12.057661486510483,PASS,0.0,2.457908868789673,7,2660,2660,1000,0.45839413020256614,1.7671388949084386,0.019966666666666667,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,0,12065,12066,30012065,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.72395161503505,16.72395161503505,PASS,0.0,4.428741216659546,20,3700,3700,1000,0.49040689753539035,1.7662221181324793,0.0257,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,1,12165,12166,30012165,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,17.040159793748813,17.040159793748813,PASS,0.0,4.082942724227905,16,3380,3380,1000,0.47829857106579127,1.7266428715875313,0.023125,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,2,12265,12266,30012265,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.381890275058083,16.381890275058083,PASS,0.0,4.253876686096191,18,3540,3540,1000,0.483500900005048,1.7724250822762766,0.024025,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,3,12365,12366,30012365,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,15.87389373042538,15.87389373042538,PASS,0.0,3.4657998085021973,10,2900,2900,1000,0.4864740804199093,1.7625206200113541,0.02375,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,4,12465,12466,30012465,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,17.12218438188046,17.12218438188046,PASS,0.0,4.6687400341033936,21,3780,3780,1000,0.47834406081306713,1.7439164664860207,0.0243,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,5,12565,12566,30012565,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.763848477312933,16.763848477312933,PASS,0.0,3.7687997817993164,13,3140,3140,1000,0.47251115292134754,1.6731785410844708,0.02145,0.0,0.0,0.0
EJOR-KBRKGA-PROTOCOL,K-BRKGA,16,100,6,12665,12666,30012665,120.0,100,20,10,0.7,100,25,fixed_scale_stable_slots,FEASIBLE_HEURISTIC,16.427677273801123,16.427677273801123,PASS,0.0,3.6249289512634277,12,3060,3060,1000,0.4692433280493139,1.69882306680602,0.02145,0.0,0.0,0.0
