protocol_version,J,K,rep,seed_service,seed_lateness,method,status,certified,validated_obj,alpha_sum,beta_sum,avg_direct_burden,avg_indirect_burden,avg_total_burden,validation_max_violation,runtime_sec,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,DE-MILP,PASS,1,0.1584635294545862,13.441536470545413,22.4,0.02641058824243107,0.0,0.02641058824243107,0.0,0.0720067024230957,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-BW,PASS,0,5.966032218560418,7.633967781439586,22.4,0.9943387030934024,0.0,0.9943387030934024,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,0,2025,2025,SS-MILP,PASS,0,1.0815408471910715,13.381601476491758,21.536857676317172,0.036399753918040366,0.1438570539471379,0.18025680786517828,0.0,0.018510103225708008,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,DE-MILP,PASS,1,0.2720310361673697,13.327968963832628,22.4,0.04533850602789524,0.0,0.04533850602789524,0.0,0.42838025093078613,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-BW,PASS,0,5.978772715083359,7.6212272849166425,22.4,0.9964621191805594,0.0,0.9964621191805594,0.0,0.0009989738464355469,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,0,2025,2025,SS-MILP,PASS,0,1.1175762515704406,13.327968963832628,21.55445478459693,0.04533850602789524,0.14092420256717797,0.1862627085950732,0.0,0.039005279541015625,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,DE-MILP,PASS,1,0.28887988062963643,13.311120119370365,22.4,0.04814664677160604,0.0,0.04814664677160604,0.0,5.087436676025391,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-BW,PASS,0,5.966781671635498,7.633218328364505,22.4,0.9944636119392491,0.0,0.9944636119392491,0.0,0.001001596450805664,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,0,2025,2025,SS-MILP,PASS,0,3.200449815649584,13.311120119370365,19.48843006498005,0.04814664677160604,0.48526165583665787,0.5334083026082639,0.0,0.15981769561767578,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,DE-MILP,PASS,1,0.31119095000382657,13.28880904999617,22.4,0.051865158333971394,0.0,0.051865158333971394,0.0,26.045435190200806,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,PASS,0,6.002575574358136,7.5974244256418615,22.4,1.000429262393023,0.0,1.000429262393023,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,PASS,0,3.216064282785112,13.28880904999617,19.495126667218713,0.051865158333971394,0.4841455554635478,0.5360107137975192,0.0,0.5324563980102539,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,DE-MILP,PASS,1,0.27846923586546524,13.32153076413453,22.4,0.046411539310911465,0.0,0.046411539310911465,0.0,0.07059407234191895,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-BW,PASS,0,6.08317252755203,7.516827472447972,22.4,1.013862087925338,0.0,1.013862087925338,0.0,0.0010006427764892578,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-MILP,PASS,0,1.1096051096426933,13.321530764134533,21.568864126222774,0.046411539310911167,0.13852264562953778,0.18493418494044894,0.0,0.021996498107910156,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,DE-MILP,PASS,1,0.2287439404667282,13.371256059533268,22.4,0.038123990077788515,0.0,0.038123990077788515,0.0,0.36682581901550293,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-BW,PASS,0,6.012067945835344,7.587932054164657,22.4,1.0020113243058903,0.0,1.0020113243058903,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-MILP,PASS,0,3.1411261736938627,13.371256059533268,19.487617766772864,0.038123990077788515,0.48539703887118923,0.5235210289489778,0.0,0.03759336471557617,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,DE-MILP,PASS,1,0.2744933310077968,13.325506668992197,22.4,0.04574888850130043,0.0,0.04574888850130043,0.0,5.161709308624268,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-BW,PASS,0,5.924932151009834,7.675067848990167,22.4,0.987488691834972,0.0,0.987488691834972,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,1,2035,2035,SS-MILP,PASS,0,3.2054381152576283,13.299191264457546,19.495370620284824,0.05013478925707574,0.48410489661919565,0.5342396858762714,0.0,0.2005152702331543,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,DE-MILP,PASS,1,0.29336047912001106,13.306639520879987,22.4,0.04889341318666873,0.0,0.04889341318666873,0.0,25.707439422607422,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-BW,PASS,0,5.951650150058853,7.648349849941146,22.4,0.9919416916764755,0.0,0.9919416916764755,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,1,2035,2035,SS-MILP,PASS,0,3.194067456216594,13.306639520879987,19.499293022903423,0.04889341318666873,0.4834511628494296,0.5323445760360983,0.0,0.40482044219970703,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,DE-MILP,PASS,1,0.11161210264103971,13.488387897358955,22.4,0.018602017106840618,0.0,0.018602017106840618,0.0,0.05150794982910156,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-BW,PASS,0,5.6949674859710875,7.905032514028909,22.4,0.9491612476618485,0.0,0.9491612476618485,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,2,2045,2045,SS-MILP,PASS,0,0.9455155759547154,13.488387897358955,21.566096526686326,0.018602017106840618,0.1389839122189457,0.15758592932578633,0.0,0.015999317169189453,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,DE-MILP,PASS,1,0.18548230054554438,13.414517699454453,22.4,0.030913716757591175,0.0,0.030913716757591175,0.0,0.34118127822875977,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-BW,PASS,0,5.814976238413671,7.785023761586328,22.4,0.9691627064022784,0.0,0.9691627064022784,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,2,2045,2045,SS-MILP,PASS,0,3.1915600442737073,13.313958823481336,19.494481132244953,0.04767352941977757,0.48425314462584074,0.5319266740456183,0.0,0.035996437072753906,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,DE-MILP,PASS,1,0.2748874970574704,13.325112502942527,22.4,0.04581458284291188,0.0,0.04581458284291188,0.0,4.8248374462127686,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,200,2,2045,2045,SS-BW,PASS,0,5.9248398245282985,7.675160175471703,22.4,0.9874733040880495,0.0,0.9874733040880495,0.0,0.0,common_replication_seed
