protocol_version,J,K,rep,seed_service,seed_lateness,method,patient,attended_stages,direct_burden,indirect_burden,total_burden,scenario_seed_mode
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,1,1,1.9999999999999998,0.0,1.9999999999999998,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-BW,3,2,4.002575574358138,0.0,4.002575574358138,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,0,1,0.2622923536368176,0.0,0.2622923536368176,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,2,2,0.0,2.904873332781287,2.904873332781287,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,500,0,2025,2025,SS-MILP,3,2,0.04889859636701077,0.0,0.04889859636701077,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,DE-MILP,0,1,0.22020395229643341,0.0,0.22020395229643341,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,DE-MILP,3,2,0.058265283569035375,0.0,0.058265283569035375,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-BW,1,1,2.0,0.0,2.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-BW,3,2,4.083172527552028,0.0,4.083172527552028,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-MILP,0,1,0.22020395229643341,0.0,0.22020395229643341,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,15,1,2035,2035,SS-MILP,3,2,0.0582652835690336,0.8311358737772268,0.8894011573462604,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,DE-MILP,0,1,0.18613187173008838,0.0,0.18613187173008838,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,DE-MILP,1,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,DE-MILP,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,DE-MILP,3,2,0.042612068736642694,0.0,0.042612068736642694,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-BW,0,1,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-BW,1,1,1.934058430592314,0.0,1.934058430592314,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-BW,2,2,0.0,0.0,0.0,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-BW,3,2,4.0780095152430285,0.0,4.0780095152430285,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-MILP,0,1,0.18613187173008838,0.0,0.18613187173008838,common_replication_seed
EJOR-SECTION52-PROTOCOL,4,50,1,2035,2035,SS-MILP,1,1,0.0,0.0,0.0,common_replication_seed
