K,method,n,obj_mean,obj_std,obj_ci95_half,alpha_mean,alpha_std,beta_mean,beta_std,direct_burden_mean,direct_burden_std,indirect_burden_mean,indirect_burden_std,runtime_mean,runtime_std,certified_runs,validation_pass_runs
15,DE-MILP,10,0.2571167539344422,0.09319875017927318,0.06666573766147112,13.342883246065558,0.09319875017927086,22.4,0.0,0.04285279232240723,0.015533125029878551,0.0,0.0,0.0654336929321289,0.007603888865965117,10,10
15,SS-BW,10,5.949320174151102,0.10200478876056457,0.07296476052141206,7.6506798258489,0.102004788760563,22.4,0.0,0.9915533623585169,0.017000798126760492,0.0,0.0,0.000295257568359375,0.00047558878297667003,0,10
15,SS-MILP,10,1.5365518001002676,0.902541801098515,0.6455946547009208,13.329172504893085,0.09541416712893766,21.134275695006643,0.8766088343688626,0.04513791585115214,0.015902361188156335,0.2109540508322258,0.14610147239481042,0.01745169162750244,0.0019199005220859888,0,10
50,DE-MILP,10,0.2796862370213198,0.0547241235579156,0.03914455996296478,13.320313762978676,0.05472412355791548,22.4,0.0,0.04661437283688701,0.009120687259652541,0.0,0.0,0.3597046613693237,0.0322402571007178,10,10
50,SS-BW,10,5.958424707813762,0.06966219310301992,0.04982986876321314,7.641575292186239,0.06966219310301944,22.4,0.0,0.9930707846356268,0.011610365517169926,0.0,0.0,9.989738464355469e-05,0.0003159032677675607,0,10
50,SS-MILP,10,2.582507749990389,1.000770335893284,0.7158582335461563,13.308647505697618,0.04376413339965526,20.10884474431199,0.9990029397978522,0.048558749050396983,0.007294022233275883,0.38185920928133454,0.16650048996630867,0.03758473396301269,0.0018333432374221055,0,10
200,DE-MILP,10,0.2956192349733392,0.013841277573120602,0.0099007655984047,13.304380765026659,0.013841277573121119,22.4,0.0,0.049269872495556755,0.002306879595520142,0.0,0.0,5.032842111587525,0.3123129026777027,10,10
200,SS-BW,10,5.981006190599919,0.04528118969724677,0.032389961319752796,7.618993809400081,0.04528118969724752,22.4,0.0,0.9968343650999865,0.007546864949541273,0.0,0.0,0.0005008459091186523,0.0005279387160329428,0,10
200,SS-MILP,10,2.799591983236089,0.8724003809228651,0.6240342796281988,13.292824301863542,0.01996997484477316,19.907583714900362,0.8687419696397655,0.051195949689409395,0.003328329140795407,0.4154027141832719,0.1447903282732943,0.13723790645599365,0.024666842589926973,0,10
500,DE-MILP,10,0.30878714808634555,0.010203396651555069,0.007298563157982982,13.291212851913652,0.010203396651556455,22.4,0.0,0.051464524681057756,0.0017005661085927604,0.0,0.0,29.847508430480957,7.313229977165513,10,10
500,SS-BW,10,5.990690980039885,0.026541047939017032,0.018985002864947618,7.609309019960117,0.0265410479390159,22.4,0.0,0.998448496673314,0.004423507989836,0.0,0.0,0.0002998828887939453,0.0004828577605941486,0,10
500,SS-MILP,10,2.1855555764264762,1.081085158652016,0.7733080050727269,13.287661805794404,0.00953582496450939,20.526782617779123,1.0836748021586522,0.05205636570093294,0.0015893041607515927,0.3122028970368129,0.1806124670264421,0.3742506504058838,0.07639111120957669,0,10
