K,kappa,n,obj_mean,obj_std,alpha_mean,alpha_std,beta_mean,beta_std,tau_mean,tau_std,psi_mean,psi_std,runtime_mean,runtime_std,certified_runs,validation_pass_runs
50,0.0,10,0.22248597511148419,0.05846353959962373,13.377514024888512,0.05846353959962399,22.4,0.0,0.0,0.0,0.0,0.0,0.21694397926330566,0.010754683391074011,10,10
50,0.25,10,0.23603604247633997,0.05791851038663272,13.36396395752366,0.05791851038663318,22.4,0.0,0.05097141955518839,0.0019875855351161554,0.02593328401282243,0.0008227673462705405,0.3563711404800415,0.046287653208820036,10,10
50,0.75,10,0.2646431465783259,0.0561325957109708,13.335356853421668,0.05613259571096904,22.4,0.0,0.15291425866556516,0.005962756605348463,0.07779985203846729,0.002468302038811622,0.34747240543365476,0.025028773073450458,10,10
50,1.0,10,0.2796862370213198,0.0547241235579156,13.320313762978676,0.05472412355791548,22.4,0.0,0.20388567822075357,0.007950342140464622,0.10373313605128973,0.003291069385082162,0.3481022119522095,0.023325685405383233,10,10
50,1.5,10,0.30505089964520093,0.05451596692259133,13.294949100354795,0.054515966922590794,22.4,0.0,0.3001375396010928,0.010847920906394812,0.15559970407693458,0.004936604077623244,0.3475785493850708,0.017027216007171823,10,10
50,2.0,10,0.3086213747317217,0.055670607396397044,13.291378625268276,0.05567060739639666,22.4,0.0,0.36957534135237025,0.010817750850991566,0.20744498284357324,0.006563848675954757,0.34887542724609377,0.012285447133907121,10,10
200,0.0,10,0.2414253335050674,0.012630476486062516,13.358574666494928,0.01263047648606178,22.4,0.0,0.0,0.0,0.0,0.0,2.733335781097412,0.07390016989329595,10,10
200,0.25,10,0.2537905224561953,0.012439347703717959,13.346209477543804,0.01243934770371937,22.4,0.0,0.05085079199637441,0.0008695551412187114,0.025667806389169212,0.0003307263766802023,5.026662731170655,0.8388816728627857,10,10
200,0.75,10,0.2809447637976838,0.01308699856347748,13.319055236202317,0.013086998563477805,22.4,0.0,0.15255237598912325,0.0026086654236561293,0.07700341916750762,0.0009921791300406006,5.0469519138336185,0.29680759519518224,10,10
200,1.0,10,0.2956192349733392,0.013841277573120602,13.304380765026659,0.013841277573121119,22.4,0.0,0.20340316798549765,0.0034782205648748454,0.10267122555667685,0.0013229055067208093,5.032059144973755,0.31505064031160174,10,10
200,1.5,10,0.32012047830827794,0.016515207656308,13.27987952169172,0.01651520765630729,22.4,0.0,0.2991542908228814,0.004419631352734178,0.15400683833501524,0.0019843582600812012,5.026018071174621,0.12362433102463835,10,10
200,2.0,10,0.31939906328134315,0.01775021505592037,13.280600936718653,0.01775021505591964,22.4,0.0,0.3679372324526702,0.004572394978722295,0.205324278565329,0.002645081033325666,5.23115222454071,0.7959845435241744,10,10
500,0.0,10,0.2551504602717934,0.009434435165376195,13.344849539728202,0.009434435165377343,22.4,0.0,0.0,0.0,0.0,0.0,14.997886300086975,0.7183422058651779,10,10
500,0.25,10,0.2676032873056414,0.00956059269197118,13.332396712694358,0.009560592691970422,22.4,0.0,0.05128874325524142,0.0004491427299550693,0.025709282690516595,0.0002327665298580979,31.560841226577757,11.031418266807863,10,10
500,0.75,10,0.2945322227481775,0.00994448238302565,13.30546777725182,0.009944482383026448,22.4,0.0,0.15386622976572423,0.0013474281898652161,0.07712784807154978,0.0006982995895742933,36.447706723213194,24.378104017860885,10,10
500,1.0,10,0.30878714808634555,0.010203396651555069,13.291212851913652,0.010203396651556455,22.4,0.0,0.2051549730209657,0.0017965709198202772,0.10283713076206638,0.0009310661194323916,30.088266015052795,7.55721664875946,10,10
500,1.5,10,0.33164241848370113,0.010534537946590988,13.268357581516298,0.010534537946591522,22.4,0.0,0.3016314335526717,0.002472728132645851,0.15425569614309956,0.0013965991791485867,41.06194710731506,24.229444606857346,10,10
500,2.0,10,0.33150515994953267,0.011592741524337587,13.268494840050465,0.011592741524338469,22.4,0.0,0.3707601523355947,0.0027375937488532485,0.20563969654226116,0.001878492918058089,35.84982340335846,10.241961711573833,10,10
