protocol_version,J,K,kappa,rep,seed_service,seed_lateness,tau_mean,psi_mean,status,certified,solver_obj,validated_obj,alpha_sum,beta_sum,validation_status,validation_max_violation,runtime_sec,build_sec,solve_sec,solver_bound,relative_gap,scenario_seed_mode
EJOR-SECTION54-PROTOCOL,4,50,0.0,0,2025,2025,0.0,0.0,STATUS_2,1,0.19172563193659276,0.19172563193658476,13.40827436806341,22.4,PASS,0.0,0.23746061325073242,0.06051015853881836,0.17695045471191406,0.19172563193659364,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.25,0,2025,2025,0.05040211750965629,0.025566156164773535,STATUS_2,1,0.20979747022207818,0.20979747022207107,13.390202529777923,22.4,PASS,0.0,0.36467742919921875,0.05752110481262207,0.3071563243865967,0.20979747022207584,2.3314683517128287e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.75,0,2025,2025,0.15120635252896888,0.07669846849432059,STATUS_2,1,0.2500190323619531,0.2500190323619478,13.349980967638048,22.4,PASS,0.0,0.3631467819213867,0.05499768257141113,0.3081490993499756,0.25001903236195133,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.0,0,2025,2025,0.20160847003862517,0.10226462465909414,STATUS_2,1,0.27203103616737323,0.2720310361673697,13.327968963832628,22.4,PASS,0.0,0.37662482261657715,0.06261205673217773,0.3140127658843994,0.27203103616737145,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,1.5,0,2025,2025,0.29754964943405854,0.15339693698864118,STATUS_2,1,0.30746283678272945,0.3074628367827259,13.292537163217272,22.4,PASS,0.0,0.35010600090026855,0.05454754829406738,0.29555845260620117,0.3074628367827277,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,2.0,0,2025,2025,0.36501405635255924,0.20452924931818828,STATUS_2,1,0.3006909228373278,0.300690922837326,13.299309077162674,22.4,PASS,0.0,0.34870219230651855,0.05400419235229492,0.29469799995422363,0.300690922837326,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.0,0,2025,2025,0.0,0.0,STATUS_2,1,0.24083949534480098,0.24083949534480098,13.359160504655193,22.4,PASS,0.0,2.8371925354003906,0.21277093887329102,2.6244215965270996,0.24083949534479565,5.329070518200751e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.25,0,2025,2025,0.050027050860652775,0.02521480645434671,STATUS_2,1,0.2514238537123541,0.2514238537123532,13.348576146287645,22.4,PASS,0.0,5.01427149772644,0.2321183681488037,4.782153129577637,0.25142385371235676,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,0.75,0,2025,2025,0.15008115258195834,0.07564441936304013,STATUS_2,1,0.27579532083194547,0.27579532083194636,13.324204679168055,22.4,PASS,0.0,5.108045816421509,0.21819829940795898,4.88984751701355,0.2757953208319499,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,1.0,0,2025,2025,0.2001082034426111,0.10085922581738684,STATUS_2,1,0.2888798806296391,0.28887988062963643,13.311120119370365,22.4,PASS,0.0,4.948635816574097,0.21587681770324707,4.73275899887085,0.28887988062964176,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,1.5,0,2025,2025,0.2952592275929746,0.15128883872608026,STATUS_2,1,0.31069088525591315,0.3106908852559087,13.289309114744086,22.4,PASS,0.0,5.141207933425903,0.22115540504455566,4.920052528381348,0.3106908852559176,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,200,2.0,0,2025,2025,0.3637560885916919,0.20171845163477367,STATUS_2,1,0.3078208360936445,0.3078208360936401,13.292179163906356,22.4,PASS,0.0,5.035821437835693,0.20749568939208984,4.8283257484436035,0.30782083609364896,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.0,0,2025,2025,0.0,0.0,STATUS_2,1,0.25947934292090125,0.25947934292094743,13.340520657079045,22.4,PASS,0.0,15.442188262939453,0.530848503112793,14.91133975982666,0.2594793429209332,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.25,0,2025,2025,0.05134488451616657,0.025697776318413395,STATUS_2,1,0.2711102840843429,0.2711102840843651,13.328889715915633,22.4,PASS,0.0,24.593022108078003,0.5444080829620361,24.048614025115967,0.2711102840843438,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,0.75,0,2025,2025,0.1540346535484997,0.07709332895524018,STATUS_2,1,0.2970592440220736,0.29705924402207273,13.302940755977927,22.4,PASS,0.0,26.694213390350342,0.5379362106323242,26.156277179718018,0.29705924402207096,2.6645352591003757e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,1.0,0,2025,2025,0.20537953806466627,0.10279110527365358,STATUS_2,1,0.3111909500038257,0.31119095000382657,13.28880904999617,22.4,PASS,0.0,26.5322208404541,0.5456876754760742,25.985533237457275,0.31119095000382835,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,1.5,0,2025,2025,0.30198827149356083,0.15418665791048036,STATUS_2,1,0.33533843668387053,0.33533843668387675,13.264661563316123,22.4,PASS,0.0,28.04145097732544,0.5392072200775146,27.502243757247925,0.335338436683875,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,500,2.0,0,2025,2025,0.3701196917880659,0.20556873156632816,STATUS_2,1,0.3342683195352114,0.3342683195352123,13.26573168046479,22.4,PASS,0.0,27.328505039215088,0.5401568412780762,26.78834819793701,0.3342683195352141,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.0,1,2035,2035,0.0,0.0,STATUS_2,1,0.18614067382293165,0.18614067382292632,13.413859326177073,22.4,PASS,0.0,0.2162315845489502,0.06566309928894043,0.15056848526000977,0.18614067382292987,1.7763568394002505e-15,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.25,1,2035,2035,0.052300014141042725,0.026456686852987223,STATUS_2,1,0.19515883141194568,0.1951588314119448,13.404841168588055,22.4,PASS,0.0,0.3179483413696289,0.055001020431518555,0.26294732093811035,0.19515883141194657,0.0,common_replication_seed
EJOR-SECTION54-PROTOCOL,4,50,0.75,1,2035,2035,0.15690004242312816,0.07937006055896167,STATUS_2,1,0.2164234382114545,0.21642343821145005,13.383576561788544,22.4,PASS,0.0,0.3361549377441406,0.053999900817871094,0.28215503692626953,0.21642343821145538,0.0,common_replication_seed
